-66,-73,-76,3362
-71,-73,-92,79
-62,-73,-70,342
-71,-70,-92,80
-66,-73,-75,3363
-66,-73,-75,3364
-71,-70,-92,81
-71,-70,-92,82
-66,-73,-75,3365
-68,-73,-70,343
-66,-73,-79,3366
-71,-78,-92,83
-68,-86,-70,344
-71,-78,-76,84
-68,-86,-70,345
-67,-78,-76,85
-67,-86,-70,346
-72,-73,-79,3367
-67,-80,-76,86
-67,-79,-70,347
-72,-79,-79,3368
-67,-80,-79,87
-67,-79,-80,348
-72,-79,-80,3369
-69,-80,-79,88
-78,-79,-80,349
-69,-70,-79,89
-78,-79,-80,3370
-78,-75,-80,350
-69,-70,-75,90
-78,-66,-80,3371
-78,-75,-76,351
-78,-66,-76,3372
-74,-70,-75,91
-70,-75,-76,352
-70,-66,-76,3373
-74,-74,-75,92
-70,-75,-76,3374
-70,-78,-76,353
-74,-74,-86,93
-70,-78,-85,354
-70,-75,-85,3375
-74,-74,-86,94
-84,-78,-85,355
-84,-75,-85,3376
-74,-80,-86,95
-84,-77,-85,356
-84,-77,-85,3377
-74,-80,-75,96
-84,-77,-73,357
-84,-77,-85,3378
-80,-80,-75,97
-73,-77,-73,358
-73,-77,-85,3379
-80,-73,-75,98
-73,-73,-73,359
-80,-73,-78,99
-73,-80,-85,3380
-73,-73,-74,360
-80,-73,-78,100
-73,-80,-85,3381
-81,-73,-74,361
-80,-69,-78,101
-77,-80,-85,3382
-81,-84,-74,362
-80,-69,-75,102
-77,-73,-85,3383
-81,-84,-92,363
-77,-73,-69,3384
-83,-69,-75,103
-75,-84,-92,364
-77,-73,-69,3385
-83,-69,-75,104
-75,-94,-92,365
-77,-73,-69,3386
-83,-69,-78,105
-75,-94,-74,366
-81,-69,-78,106
-77,-73,-69,3387
-79,-94,-74,367
-79,-73,-69,3388
-81,-69,-78,107
-79,-75,-74,368
-81,-69,-78,108
-79,-73,-69,3389
-79,-75,-79,369
-81,-69,-78,109
-74,-75,-79,370
-79,-73,-69,3390
-81,-69,-78,110
-74,-75,-79,371
-79,-73,-69,3391
-79,-100,-69,3392
-79,-100,-74,3393
-74,-75,-84,372
-81,-69,-84,111
-71,-100,-74,3394
-78,-69,-84,112
-78,-75,-84,373
-71,-75,-74,3395
-78,-70,-84,113
-78,-75,-84,374
-78,-70,-87,114
-78,-75,-87,375
-82,-70,-87,115
-71,-75,-79,3396
-79,-75,-87,376
-82,-77,-87,116
-77,-75,-79,3397
-79,-67,-87,377
-82,-77,-84,117
-77,-73,-79,3398
-79,-67,-80,378
-79,-77,-84,118
-77,-73,-79,3399
